praca,preco_vista,preco_30d,variacao,data
MS Três Lagoas,339.5,343.0,-1.46,2026-05-18
MS Dourados,343.0,347.0,-0.29,2026-05-18
SP Barretos,344.0,348.0,0.0,2026-05-18
GO Goiânia,326.5,330.0,-5.26,2026-05-18
MG Sul,319.5,323.0,-7.3,2026-05-18
MG Norte,321.5,325.0,-6.72,2026-05-18
MG B.Horizonte,313.5,317.0,-8.91,2026-05-18
MG Triângulo,323.5,327.0,-6.13,2026-05-18
SP Araçatuba,344.0,348.0,0.0,2026-05-18
BA Oeste,322.5,326.0,-6.42,2026-05-18
MT Norte,346.0,350.0,0.58,2026-05-18
GO Reg. Sul,326.5,330.0,-5.26,2026-05-18
MT Cuiabá*,346.0,350.0,0.58,2026-05-18
Roraima,326.5,330.0,-5.26,2026-05-18
RJ,338.5,342.0,-1.75,2026-05-18
ES,313.5,317.0,-8.91,2026-05-18
Acre,301.5,305.0,-12.41,2026-05-18
TO Norte,331.5,335.0,-3.8,2026-05-18
TO Sul,331.5,335.0,-3.8,2026-05-18
RO Sudeste,326.5,330.0,-5.26,2026-05-18
MT Sudoeste,346.0,350.0,0.58,2026-05-18
PA Redenção,336.5,340.0,-2.34,2026-05-18
PA Marabá,336.5,340.0,-2.34,2026-05-18
Alagoas,346.0,350.0,0.58,2026-05-18
MA Oeste,341.0,345.0,-0.88,2026-05-18
SC,341.0,345.0,-0.88,2026-05-18
PR Noroeste,341.0,345.0,-0.88,2026-05-18
MT Sudeste,346.0,350.0,0.58,2026-05-18
PA Paragominas,345.0,349.0,0.29,2026-05-18
BA Sul,313.5,317.0,-8.91,2026-05-19
RS Pelotas (kg),12.15,12.3,5.99,2026-05-19
RS Oeste (kg),12.25,12.4,6.86,2026-05-19
MS Três Lagoas,339.5,343.0,-1.46,2026-05-19
MS C. Grande,341.0,345.0,-0.88,2026-05-19
MS Dourados,341.0,345.0,-0.88,2026-05-19
GO Reg. Sul,321.5,325.0,-6.72,2026-05-19
MG B.Horizonte,313.5,317.0,-8.91,2026-05-19
MG Sul,319.5,323.0,-7.3,2026-05-19
MG Norte,316.5,320.0,-8.03,2026-05-19
MG Triângulo,321.5,325.0,-6.72,2026-05-19
SP Araçatuba,344.0,348.0,0.0,2026-05-19
SP Barretos,344.0,348.0,0.0,2026-05-19
BA Oeste,321.5,325.0,-6.72,2026-05-19
GO Goiânia,321.5,325.0,-6.72,2026-05-19
MT Norte,346.0,350.0,0.58,2026-05-19
MT Sudoeste,346.0,350.0,0.58,2026-05-19
MT Cuiabá*,346.0,350.0,0.58,2026-05-19
RJ,338.5,342.0,-1.75,2026-05-19
ES,313.5,317.0,-8.91,2026-05-19
Acre,301.5,305.0,-12.41,2026-05-19
TO Norte,331.5,335.0,-3.8,2026-05-19
TO Sul,331.5,335.0,-3.8,2026-05-19
RO Sudeste,326.5,330.0,-5.26,2026-05-19
PA Paragominas,345.0,349.0,0.29,2026-05-19
Roraima,326.5,330.0,-5.26,2026-05-19
PA Marabá,336.5,340.0,-2.34,2026-05-19
Alagoas,346.0,350.0,0.58,2026-05-19
MA Oeste,341.0,345.0,-0.88,2026-05-19
SC,341.0,345.0,-0.88,2026-05-19
PR Noroeste,338.5,342.0,-1.75,2026-05-19
MT Sudeste,346.0,350.0,0.58,2026-05-19
PA Redenção,336.5,340.0,-2.34,2026-05-19
BA Sul,313.5,317.0,-8.91,2026-05-20
RS Pelotas (kg),12.15,12.3,5.99,2026-05-20
RS Oeste (kg),12.25,12.4,6.86,2026-05-20
MS Três Lagoas,339.5,343.0,-1.46,2026-05-20
MS C. Grande,341.0,345.0,-0.88,2026-05-20
MS Dourados,341.0,345.0,-0.88,2026-05-20
GO Reg. Sul,321.5,325.0,-6.72,2026-05-20
MG Norte,316.5,320.0,-8.03,2026-05-20
MG Sul,316.5,320.0,-8.03,2026-05-20
MG B.Horizonte,313.5,317.0,-8.91,2026-05-20
MG Triângulo,321.5,325.0,-6.72,2026-05-20
SP Araçatuba,344.0,348.0,0.0,2026-05-20
SP Barretos,344.0,348.0,0.0,2026-05-20
BA Oeste,321.5,325.0,-6.72,2026-05-20
GO Goiânia,321.5,325.0,-6.72,2026-05-20
MT Norte,346.0,350.0,0.58,2026-05-20
MT Sudoeste,346.0,350.0,0.58,2026-05-20
MT Cuiabá*,344.0,348.0,0.0,2026-05-20
RJ,336.5,340.0,-2.34,2026-05-20
ES,313.5,317.0,-8.91,2026-05-20
Acre,298.5,302.0,-13.28,2026-05-20
TO Norte,331.5,335.0,-3.8,2026-05-20
TO Sul,331.5,335.0,-3.8,2026-05-20
RO Sudeste,326.5,330.0,-5.26,2026-05-20
PA Paragominas,345.0,349.0,0.29,2026-05-20
Roraima,326.5,330.0,-5.26,2026-05-20
PA Marabá,336.5,340.0,-2.34,2026-05-20
Alagoas,346.0,350.0,0.58,2026-05-20
MA Oeste,339.5,343.0,-1.46,2026-05-20
SC,341.0,345.0,-0.88,2026-05-20
PR Noroeste,338.5,342.0,-1.75,2026-05-20
MT Sudeste,344.0,348.0,0.0,2026-05-20
PA Redenção,336.5,340.0,-2.34,2026-05-20
BA Sul,311.5,315.0,-8.69,2026-05-21
RS Pelotas (kg),12.15,12.3,6.92,2026-05-21
RS Oeste (kg),12.25,12.4,7.81,2026-05-21
MS Três Lagoas,339.5,343.0,-0.59,2026-05-21
MS C. Grande,341.0,345.0,0.0,2026-05-21
MS Dourados,341.0,345.0,0.0,2026-05-21
GO Reg. Sul,320.5,324.0,-6.19,2026-05-21
MG Norte,316.5,320.0,-7.22,2026-05-21
MG Sul,316.5,320.0,-7.22,2026-05-21
MG B.Horizonte,313.5,317.0,-8.1,2026-05-21
MG Triângulo,321.5,325.0,-5.89,2026-05-21
SP Araçatuba,341.0,345.0,0.0,2026-05-21
SP Barretos,341.0,345.0,0.0,2026-05-21
BA Oeste,318.5,322.0,-6.63,2026-05-21
GO Goiânia,320.5,324.0,-6.19,2026-05-21
MT Norte,346.0,350.0,1.47,2026-05-21
MT Sudoeste,344.0,348.0,0.88,2026-05-21
MT Cuiabá*,344.0,348.0,0.88,2026-05-21
RJ,336.5,340.0,-1.47,2026-05-21
ES,316.5,320.0,-7.22,2026-05-21
Acre,298.5,302.0,-12.52,2026-05-21
TO Norte,331.5,335.0,-2.95,2026-05-21
TO Sul,331.5,335.0,-2.95,2026-05-21
RO Sudeste,331.5,335.0,-2.95,2026-05-21
PA Paragominas,345.0,349.0,1.18,2026-05-21
Roraima,328.5,332.0,-3.83,2026-05-21
PA Marabá,336.5,340.0,-1.47,2026-05-21
Alagoas,346.0,350.0,1.47,2026-05-21
MA Oeste,336.5,340.0,-1.47,2026-05-21
SC,341.0,345.0,0.0,2026-05-21
PR Noroeste,338.5,342.0,-0.88,2026-05-21
MT Sudeste,344.0,348.0,0.88,2026-05-21
PA Redenção,336.5,340.0,-1.47,2026-05-21
BA Sul,311.5,315.0,-8.69,2026-05-22
RS Pelotas (kg),12.15,12.3,6.92,2026-05-22
RS Oeste (kg),12.25,12.4,7.81,2026-05-22
MS Três Lagoas,339.5,343.0,-0.59,2026-05-22
MS C. Grande,341.0,345.0,0.0,2026-05-22
MS Dourados,341.0,345.0,0.0,2026-05-22
MG Norte,316.5,320.0,-7.22,2026-05-22
GO Goiânia,320.5,324.0,-6.19,2026-05-22
MG Sul,316.5,320.0,-7.22,2026-05-22
MG B.Horizonte,313.5,317.0,-8.1,2026-05-22
MG Triângulo,321.5,325.0,-5.89,2026-05-22
SP Araçatuba,341.0,345.0,0.0,2026-05-22
BA Oeste,318.5,322.0,-6.63,2026-05-22
GO Reg. Sul,320.5,324.0,-6.19,2026-05-22
MT Norte,344.0,348.0,0.88,2026-05-22
SP Barretos,341.0,345.0,0.0,2026-05-22
MT Cuiabá*,344.0,348.0,0.88,2026-05-22
Roraima,328.5,332.0,-3.83,2026-05-22
RJ,336.5,340.0,-1.47,2026-05-22
ES,316.5,320.0,-7.22,2026-05-22
Acre,298.5,302.0,-12.52,2026-05-22
TO Norte,331.5,335.0,-2.95,2026-05-22
TO Sul,331.5,335.0,-2.95,2026-05-22
RO Sudeste,331.5,335.0,-2.95,2026-05-22
MT Sudoeste,341.0,345.0,0.0,2026-05-22
PA Redenção,336.5,340.0,-1.47,2026-05-22
PA Marabá,336.5,340.0,-1.47,2026-05-22
Alagoas,346.0,350.0,1.47,2026-05-22
MA Oeste,336.5,340.0,-1.47,2026-05-22
SC,341.0,345.0,0.0,2026-05-22
PR Noroeste,338.5,342.0,-0.88,2026-05-22
MT Sudeste,344.0,348.0,0.88,2026-05-22
PA Paragominas,345.0,349.0,1.18,2026-05-22
BA Sul,311.5,315.0,-8.69,2026-05-23
RS Pelotas (kg),12.15,12.3,6.92,2026-05-23
RS Oeste (kg),12.25,12.4,7.81,2026-05-23
MS Três Lagoas,339.5,343.0,-0.59,2026-05-23
MS C. Grande,339.5,343.0,-0.59,2026-05-23
MS Dourados,339.5,343.0,-0.59,2026-05-23
GO Reg. Sul,320.5,324.0,-6.19,2026-05-23
MG B.Horizonte,313.5,317.0,-8.1,2026-05-23
MG Sul,316.5,320.0,-7.22,2026-05-23
MG Norte,316.5,320.0,-7.22,2026-05-23
MG Triângulo,321.5,325.0,-5.89,2026-05-23
SP Araçatuba,341.0,345.0,0.0,2026-05-23
SP Barretos,341.0,345.0,0.0,2026-05-23
BA Oeste,318.5,322.0,-6.63,2026-05-23
GO Goiânia,320.5,324.0,-6.19,2026-05-23
MT Norte,341.0,345.0,0.0,2026-05-23
MT Sudoeste,341.0,345.0,0.0,2026-05-23
MT Cuiabá*,344.0,348.0,0.88,2026-05-23
RJ,336.5,340.0,-1.47,2026-05-23
ES,313.5,317.0,-8.1,2026-05-23
Acre,296.5,300.0,-13.11,2026-05-23
TO Norte,331.5,335.0,-2.95,2026-05-23
TO Sul,328.5,332.0,-3.83,2026-05-23
RO Sudeste,331.5,335.0,-2.95,2026-05-23
PA Paragominas,345.0,349.0,1.18,2026-05-23
Roraima,328.5,332.0,-3.83,2026-05-23
PA Marabá,336.5,340.0,-1.47,2026-05-23
Alagoas,346.0,350.0,1.47,2026-05-23
MA Oeste,336.5,340.0,-1.47,2026-05-23
SC,341.0,345.0,0.0,2026-05-23
PR Noroeste,338.5,342.0,-0.88,2026-05-23
MT Sudeste,344.0,348.0,0.88,2026-05-23
PA Redenção,336.5,340.0,-1.47,2026-05-23
BA Sul,311.5,315.0,-8.69,2026-05-24
RS Pelotas (kg),12.15,12.3,6.92,2026-05-24
RS Oeste (kg),12.25,12.4,7.81,2026-05-24
MS Três Lagoas,339.5,343.0,-0.59,2026-05-24
MS C. Grande,339.5,343.0,-0.59,2026-05-24
MS Dourados,339.5,343.0,-0.59,2026-05-24
MG Norte,316.5,320.0,-7.22,2026-05-24
GO Goiânia,320.5,324.0,-6.19,2026-05-24
MG Sul,316.5,320.0,-7.22,2026-05-24
MG B.Horizonte,313.5,317.0,-8.1,2026-05-24
MG Triângulo,321.5,325.0,-5.89,2026-05-24
SP Araçatuba,341.0,345.0,0.0,2026-05-24
BA Oeste,318.5,322.0,-6.63,2026-05-24
GO Reg. Sul,320.5,324.0,-6.19,2026-05-24
MT Norte,341.0,345.0,0.0,2026-05-24
SP Barretos,341.0,345.0,0.0,2026-05-24
MT Cuiabá*,344.0,348.0,0.88,2026-05-24
MT Sudoeste,341.0,345.0,0.0,2026-05-24
RJ,336.5,340.0,-1.47,2026-05-24
ES,313.5,317.0,-8.1,2026-05-24
Acre,296.5,300.0,-13.11,2026-05-24
TO Norte,331.5,335.0,-2.95,2026-05-24
TO Sul,328.5,332.0,-3.83,2026-05-24
RO Sudeste,331.5,335.0,-2.95,2026-05-24
Roraima,328.5,332.0,-3.83,2026-05-24
PA Redenção,336.5,340.0,-1.47,2026-05-24
PA Marabá,336.5,340.0,-1.47,2026-05-24
Alagoas,346.0,350.0,1.47,2026-05-24
MA Oeste,336.5,340.0,-1.47,2026-05-24
SC,341.0,345.0,0.0,2026-05-24
PR Noroeste,338.5,342.0,-0.88,2026-05-24
MT Sudeste,344.0,348.0,0.88,2026-05-24
PA Paragominas,345.0,349.0,1.18,2026-05-24
BA Sul,311.5,315.0,-8.69,2026-05-25
RS Pelotas (kg),12.15,12.3,6.92,2026-05-25
RS Oeste (kg),12.25,12.4,7.81,2026-05-25
MS Três Lagoas,339.5,343.0,-0.59,2026-05-25
MS C. Grande,339.5,343.0,-0.59,2026-05-25
MS Dourados,339.5,343.0,-0.59,2026-05-25
MG Norte,316.5,320.0,-7.22,2026-05-25
GO Goiânia,320.5,324.0,-6.19,2026-05-25
MG Sul,316.5,320.0,-7.22,2026-05-25
MG B.Horizonte,313.5,317.0,-8.1,2026-05-25
MG Triângulo,321.5,325.0,-5.89,2026-05-25
SP Araçatuba,341.0,345.0,0.0,2026-05-25
BA Oeste,318.5,322.0,-6.63,2026-05-25
GO Reg. Sul,320.5,324.0,-6.19,2026-05-25
MT Norte,341.0,345.0,0.0,2026-05-25
SP Barretos,341.0,345.0,0.0,2026-05-25
MT Cuiabá*,344.0,348.0,0.88,2026-05-25
Roraima,328.5,332.0,-3.83,2026-05-25
RJ,336.5,340.0,-1.47,2026-05-25
ES,313.5,317.0,-8.1,2026-05-25
Acre,296.5,300.0,-13.11,2026-05-25
TO Norte,331.5,335.0,-2.95,2026-05-25
TO Sul,328.5,332.0,-3.83,2026-05-25
RO Sudeste,331.5,335.0,-2.95,2026-05-25
MT Sudoeste,341.0,345.0,0.0,2026-05-25
PA Redenção,336.5,340.0,-1.47,2026-05-25
PA Marabá,336.5,340.0,-1.47,2026-05-25
Alagoas,346.0,350.0,1.47,2026-05-25
MA Oeste,336.5,340.0,-1.47,2026-05-25
SC,341.0,345.0,0.0,2026-05-25
PR Noroeste,338.5,342.0,-0.88,2026-05-25
MT Sudeste,344.0,348.0,0.88,2026-05-25
PA Paragominas,345.0,349.0,1.18,2026-05-25
BA Oeste,318.5,322.0,-7.17,2026-05-28
BA Sul,308.5,312.0,-10.1,2026-05-28
RS Pelotas (kg),12.25,12.4,7.17,2026-05-28
RS Oeste (kg),12.35,12.5,8.05,2026-05-28
MS Três Lagoas,339.5,343.0,-1.17,2026-05-28
MS C. Grande,341.0,345.0,-0.59,2026-05-28
MS Dourados,341.0,345.0,-0.59,2026-05-28
MG Norte,316.5,320.0,-7.76,2026-05-28
GO Goiânia,320.5,324.0,-6.73,2026-05-28
MG Sul,316.5,320.0,-7.76,2026-05-28
MG B.Horizonte,313.5,317.0,-8.64,2026-05-28
MG Triângulo,318.5,322.0,-7.17,2026-05-28
SP Araçatuba,343.0,347.0,0.0,2026-05-28
MT Norte,338.5,342.0,-1.46,2026-05-28
GO Reg. Sul,320.5,324.0,-6.73,2026-05-28
SP Barretos,343.0,347.0,0.0,2026-05-28
MT Sudoeste,338.5,342.0,-1.46,2026-05-28
MT Sudeste,342.0,346.0,-0.29,2026-05-28
MT Cuiabá*,343.0,347.0,0.0,2026-05-28
Roraima,328.5,332.0,-4.39,2026-05-28
RJ,334.5,338.0,-2.64,2026-05-28
ES,313.5,317.0,-8.64,2026-05-28
Acre,296.5,300.0,-13.62,2026-05-28
TO Sul,328.5,332.0,-4.39,2026-05-28
RO Sudeste,331.5,335.0,-3.51,2026-05-28
TO Norte,328.5,332.0,-4.39,2026-05-28
PA Redenção,336.5,340.0,-2.05,2026-05-28
PA Marabá,336.5,340.0,-2.05,2026-05-28
Alagoas,346.0,350.0,0.88,2026-05-28
MA Oeste,336.5,340.0,-2.05,2026-05-28
SC,341.0,345.0,-0.59,2026-05-28
PR Noroeste,338.5,342.0,-1.46,2026-05-28
PA Paragominas,347.0,351.0,1.17,2026-05-28
MS C. Grande,341.0,345.0,-0.59,2026-05-29
BA Sul,308.5,312.0,-10.1,2026-05-29
RS Pelotas (kg),12.4,12.55,8.49,2026-05-29
RS Oeste (kg),12.45,12.6,8.93,2026-05-29
MS Três Lagoas,341.0,345.0,-0.59,2026-05-29
MS Dourados,341.0,345.0,-0.59,2026-05-29
SP Barretos,343.0,347.0,0.0,2026-05-29
GO Goiânia,322.5,326.0,-6.15,2026-05-29
MG Sul,316.5,320.0,-7.76,2026-05-29
MG Norte,311.5,315.0,-9.22,2026-05-29
MG B.Horizonte,313.5,317.0,-8.64,2026-05-29
MG Triângulo,318.5,322.0,-7.17,2026-05-29
SP Araçatuba,343.0,347.0,0.0,2026-05-29
BA Oeste,318.5,322.0,-7.17,2026-05-29
MT Norte,338.5,342.0,-1.46,2026-05-29
GO Reg. Sul,321.5,325.0,-6.44,2026-05-29
MT Cuiabá*,343.0,347.0,0.0,2026-05-29
Roraima,328.5,332.0,-4.39,2026-05-29
RJ,336.5,340.0,-2.05,2026-05-29
ES,313.5,317.0,-8.64,2026-05-29
Acre,296.5,300.0,-13.62,2026-05-29
TO Norte,328.5,332.0,-4.39,2026-05-29
TO Sul,328.5,332.0,-4.39,2026-05-29
RO Sudeste,331.5,335.0,-3.51,2026-05-29
MT Sudoeste,338.5,342.0,-1.46,2026-05-29
PA Redenção,338.5,342.0,-1.46,2026-05-29
PA Marabá,341.0,345.0,-0.59,2026-05-29
Alagoas,341.0,345.0,-0.59,2026-05-29
MA Oeste,336.5,340.0,-2.05,2026-05-29
SC,341.0,345.0,-0.59,2026-05-29
PR Noroeste,338.5,342.0,-1.46,2026-05-29
MT Sudeste,342.0,346.0,-0.29,2026-05-29
PA Paragominas,347.0,351.0,1.17,2026-05-29
BA Sul,308.5,312.0,-10.1,2026-05-30
RS Pelotas (kg),12.35,12.5,8.05,2026-05-30
RS Oeste (kg),12.35,12.5,8.05,2026-05-30
MS Três Lagoas,341.0,345.0,-0.59,2026-05-30
MS C. Grande,341.0,345.0,-0.59,2026-05-30
MS Dourados,341.0,345.0,-0.59,2026-05-30
GO Reg. Sul,321.5,325.0,-6.44,2026-05-30
MG B.Horizonte,313.5,317.0,-8.64,2026-05-30
MG Sul,316.5,320.0,-7.76,2026-05-30
MG Norte,311.5,315.0,-9.22,2026-05-30
MG Triângulo,318.5,322.0,-7.17,2026-05-30
SP Araçatuba,343.0,347.0,0.0,2026-05-30
SP Barretos,343.0,347.0,0.0,2026-05-30
BA Oeste,318.5,322.0,-7.17,2026-05-30
GO Goiânia,321.5,325.0,-6.44,2026-05-30
MT Norte,338.5,342.0,-1.46,2026-05-30
MT Sudoeste,338.5,342.0,-1.46,2026-05-30
MT Cuiabá*,343.0,347.0,0.0,2026-05-30
RJ,333.5,337.0,-2.93,2026-05-30
ES,313.5,317.0,-8.64,2026-05-30
Acre,296.5,300.0,-13.62,2026-05-30
TO Norte,328.5,332.0,-4.39,2026-05-30
TO Sul,328.5,332.0,-4.39,2026-05-30
RO Sudeste,331.5,335.0,-3.51,2026-05-30
PA Paragominas,347.0,351.0,1.17,2026-05-30
Roraima,328.5,332.0,-4.39,2026-05-30
PA Marabá,341.0,345.0,-0.59,2026-05-30
Alagoas,341.0,345.0,-0.59,2026-05-30
MA Oeste,336.5,340.0,-2.05,2026-05-30
SC,343.0,347.0,0.0,2026-05-30
PR Noroeste,338.5,342.0,-1.46,2026-05-30
MT Sudeste,342.0,346.0,-0.29,2026-05-30
PA Redenção,338.5,342.0,-1.46,2026-05-30
BA Sul,308.5,312.0,-10.1,2026-05-31
RS Pelotas (kg),12.35,12.5,8.05,2026-05-31
RS Oeste (kg),12.35,12.5,8.05,2026-05-31
MS Três Lagoas,341.0,345.0,-0.59,2026-05-31
MS C. Grande,341.0,345.0,-0.59,2026-05-31
MS Dourados,341.0,345.0,-0.59,2026-05-31
GO Reg. Sul,321.5,325.0,-6.44,2026-05-31
MG Norte,311.5,315.0,-9.22,2026-05-31
MG Sul,316.5,320.0,-7.76,2026-05-31
MG B.Horizonte,313.5,317.0,-8.64,2026-05-31
MG Triângulo,318.5,322.0,-7.17,2026-05-31
SP Araçatuba,343.0,347.0,0.0,2026-05-31
SP Barretos,343.0,347.0,0.0,2026-05-31
BA Oeste,318.5,322.0,-7.17,2026-05-31
GO Goiânia,321.5,325.0,-6.44,2026-05-31
MT Norte,338.5,342.0,-1.46,2026-05-31
Roraima,328.5,332.0,-4.39,2026-05-31
MT Cuiabá*,343.0,347.0,0.0,2026-05-31
MT Sudoeste,338.5,342.0,-1.46,2026-05-31
RJ,333.5,337.0,-2.93,2026-05-31
ES,313.5,317.0,-8.64,2026-05-31
Acre,296.5,300.0,-13.62,2026-05-31
TO Sul,328.5,332.0,-4.39,2026-05-31
RO Sudeste,331.5,335.0,-3.51,2026-05-31
PA Paragominas,347.0,351.0,1.17,2026-05-31
TO Norte,328.5,332.0,-4.39,2026-05-31
PA Marabá,341.0,345.0,-0.59,2026-05-31
Alagoas,341.0,345.0,-0.59,2026-05-31
MA Oeste,336.5,340.0,-2.05,2026-05-31
SC,343.0,347.0,0.0,2026-05-31
PR Noroeste,338.5,342.0,-1.46,2026-05-31
MT Sudeste,342.0,346.0,-0.29,2026-05-31
PA Redenção,338.5,342.0,-1.46,2026-05-31
MS Dourados,341.0,345.0,-0.59,2026-06-01
BA Sul,308.5,312.0,-10.1,2026-06-01
RS Pelotas (kg),12.35,12.5,8.05,2026-06-01
RS Oeste (kg),12.35,12.5,8.05,2026-06-01
MS Três Lagoas,341.0,345.0,-0.59,2026-06-01
MS C. Grande,341.0,345.0,-0.59,2026-06-01
GO Reg. Sul,321.5,325.0,-6.44,2026-06-01
BA Oeste,318.5,322.0,-7.17,2026-06-01
MG Sul,316.5,320.0,-7.76,2026-06-01
MG Norte,311.5,315.0,-9.22,2026-06-01
MG B.Horizonte,313.5,317.0,-8.64,2026-06-01
MG Triângulo,318.5,322.0,-7.17,2026-06-01
SP Araçatuba,343.0,347.0,0.0,2026-06-01
SP Barretos,343.0,347.0,0.0,2026-06-01
GO Goiânia,321.5,325.0,-6.44,2026-06-01
MT Norte,338.5,342.0,-1.46,2026-06-01
Roraima,328.5,332.0,-4.39,2026-06-01
MT Cuiabá*,343.0,347.0,0.0,2026-06-01
RJ,333.5,337.0,-2.93,2026-06-01
ES,313.5,317.0,-8.64,2026-06-01
Acre,296.5,300.0,-13.62,2026-06-01
TO Norte,328.5,332.0,-4.39,2026-06-01
TO Sul,328.5,332.0,-4.39,2026-06-01
RO Sudeste,331.5,335.0,-3.51,2026-06-01
PA Paragominas,347.0,351.0,1.17,2026-06-01
MT Sudoeste,338.5,342.0,-1.46,2026-06-01
PA Marabá,341.0,345.0,-0.59,2026-06-01
Alagoas,341.0,345.0,-0.59,2026-06-01
MA Oeste,336.5,340.0,-2.05,2026-06-01
SC,343.0,347.0,0.0,2026-06-01
PR Noroeste,338.5,342.0,-1.46,2026-06-01
MT Sudeste,342.0,346.0,-0.29,2026-06-01
PA Redenção,338.5,342.0,-1.46,2026-06-01
BA Sul,308.5,312.0,-10.1,2026-06-02
RS Pelotas (kg),12.35,12.5,8.05,2026-06-02
RS Oeste (kg),12.35,12.5,8.05,2026-06-02
MS Três Lagoas,341.0,345.0,-0.59,2026-06-02
MS C. Grande,341.0,345.0,-0.59,2026-06-02
MS Dourados,341.0,345.0,-0.59,2026-06-02
MG Norte,311.5,315.0,-9.22,2026-06-02
GO Goiânia,321.5,325.0,-6.44,2026-06-02
MG Sul,316.5,320.0,-7.76,2026-06-02
MG B.Horizonte,313.5,317.0,-8.64,2026-06-02
MG Triângulo,318.5,322.0,-7.17,2026-06-02
SP Araçatuba,343.0,347.0,0.0,2026-06-02
BA Oeste,318.5,322.0,-7.17,2026-06-02
GO Reg. Sul,321.5,325.0,-6.44,2026-06-02
SP Barretos,343.0,347.0,0.0,2026-06-02
MT Norte,338.5,342.0,-1.46,2026-06-02
MT Cuiabá*,343.0,347.0,0.0,2026-06-02
MT Sudoeste,338.5,342.0,-1.46,2026-06-02
Roraima,328.5,332.0,-4.39,2026-06-02
RJ,333.5,337.0,-2.93,2026-06-02
ES,313.5,317.0,-8.64,2026-06-02
Acre,296.5,300.0,-13.62,2026-06-02
TO Sul,328.5,332.0,-4.39,2026-06-02
RO Sudeste,331.5,335.0,-3.51,2026-06-02
TO Norte,328.5,332.0,-4.39,2026-06-02
PA Redenção,338.5,342.0,-1.46,2026-06-02
PA Marabá,341.0,345.0,-0.59,2026-06-02
Alagoas,341.0,345.0,-0.59,2026-06-02
MA Oeste,336.5,340.0,-2.05,2026-06-02
SC,343.0,347.0,0.0,2026-06-02
PR Noroeste,338.5,342.0,-1.46,2026-06-02
MT Sudeste,342.0,346.0,-0.29,2026-06-02
PA Paragominas,347.0,351.0,1.17,2026-06-02
MS Dourados,341.0,345.0,-0.59,2026-06-03
BA Sul,308.5,312.0,-10.1,2026-06-03
RS Pelotas (kg),12.35,12.5,8.05,2026-06-03
RS Oeste (kg),12.3,12.45,7.61,2026-06-03
MS Três Lagoas,341.0,345.0,-0.59,2026-06-03
MS C. Grande,341.0,345.0,-0.59,2026-06-03
BA Oeste,321.5,325.0,-6.44,2026-06-03
SP Barretos,343.0,347.0,0.0,2026-06-03
GO Goiânia,321.5,325.0,-6.44,2026-06-03
MG Sul,316.5,320.0,-7.76,2026-06-03
MG Norte,311.5,315.0,-9.22,2026-06-03
MG B.Horizonte,316.5,320.0,-7.76,2026-06-03
MG Triângulo,318.5,322.0,-7.17,2026-06-03
SP Araçatuba,343.0,347.0,0.0,2026-06-03
GO Reg. Sul,321.5,325.0,-6.44,2026-06-03
MT Norte,338.5,342.0,-1.46,2026-06-03
PA Redenção,341.0,345.0,-0.59,2026-06-03
MT Cuiabá*,343.0,347.0,0.0,2026-06-03
Roraima,333.5,337.0,-2.93,2026-06-03
RJ,333.5,337.0,-2.93,2026-06-03
ES,311.5,315.0,-9.22,2026-06-03
Acre,296.5,300.0,-13.62,2026-06-03
TO Norte,327.5,331.0,-4.69,2026-06-03
TO Sul,328.5,332.0,-4.39,2026-06-03
RO Sudeste,333.5,337.0,-2.93,2026-06-03
MT Sudoeste,338.5,342.0,-1.46,2026-06-03
PA Marabá,344.0,348.0,0.29,2026-06-03
Alagoas,341.0,345.0,-0.59,2026-06-03
MA Oeste,338.5,342.0,-1.46,2026-06-03
SC,343.0,347.0,0.0,2026-06-03
PR Noroeste,338.5,342.0,-1.46,2026-06-03
MT Sudeste,342.0,346.0,-0.29,2026-06-03
PA Paragominas,348.0,352.0,1.46,2026-06-03
BA Sul,310.5,314.0,-10.04,2026-06-04
RS Pelotas (kg),12.35,12.5,7.42,2026-06-04
RS Oeste (kg),12.3,12.45,6.99,2026-06-04
MS Três Lagoas,341.5,345.0,-1.16,2026-06-04
MS C. Grande,341.5,345.0,-1.16,2026-06-04
MS Dourados,341.5,345.0,-1.16,2026-06-04
GO Reg. Sul,321.5,325.0,-6.99,2026-06-04
MG Norte,313.5,317.0,-9.17,2026-06-04
MG Sul,316.5,320.0,-8.3,2026-06-04
MG B.Horizonte,319.5,323.0,-7.57,2026-06-04
MG Triângulo,320.5,324.0,-7.28,2026-06-04
SP Araçatuba,345.5,349.0,0.0,2026-06-04
SP Barretos,345.5,349.0,0.0,2026-06-04
BA Oeste,321.5,325.0,-6.99,2026-06-04
GO Goiânia,321.5,325.0,-6.99,2026-06-04
MT Norte,340.5,344.0,-1.46,2026-06-04
MT Sudoeste,340.5,344.0,-1.46,2026-06-04
MT Cuiabá*,343.5,347.0,-0.58,2026-06-04
RJ,333.5,337.0,-3.49,2026-06-04
ES,313.5,317.0,-9.17,2026-06-04
Acre,299.0,302.0,-13.54,2026-06-04
TO Norte,327.5,331.0,-5.24,2026-06-04
RO Sudeste,334.5,338.0,-3.2,2026-06-04
PA Paragominas,348.0,352.0,0.87,2026-06-04
TO Sul,328.5,332.0,-4.95,2026-06-04
PA Marabá,344.5,348.0,-0.29,2026-06-04
Alagoas,341.5,345.0,-1.16,2026-06-04
