praca,preco_vista,preco_30d,data
MT Sudeste,331.5,335.0,2026-06-05
BA Sul,289.0,292.0,2026-06-06
RS Pelotas (kg),11.9,12.05,2026-06-06
RS Oeste (kg),11.85,12.0,2026-06-06
MS Três Lagoas,326.5,330.0,2026-06-06
MS C. Grande,327.5,331.0,2026-06-06
MS Dourados,326.5,330.0,2026-06-06
MG Norte,304.5,308.0,2026-06-06
MG Sul,301.5,305.0,2026-06-06
MG B.Horizonte,301.5,305.0,2026-06-06
MG Triângulo,310.5,314.0,2026-06-06
SP Araçatuba,328.5,332.0,2026-06-06
SP Barretos,328.5,332.0,2026-06-06
BA Oeste,297.0,300.0,2026-06-06
GO Goiânia,306.5,310.0,2026-06-06
MT Norte,324.5,328.0,2026-06-06
GO Reg. Sul,311.5,315.0,2026-06-06
MT Cuiabá*,331.5,335.0,2026-06-06
MT Sudoeste,331.5,335.0,2026-06-06
RJ,313.5,317.0,2026-06-06
ES,306.5,310.0,2026-06-06
Acre,280.0,283.0,2026-06-06
TO Norte,311.5,315.0,2026-06-06
TO Sul,306.5,310.0,2026-06-06
RO Sudeste,326.5,330.0,2026-06-06
Roraima,311.5,315.0,2026-06-06
PA Redenção,326.5,330.0,2026-06-06
PA Marabá,326.5,330.0,2026-06-06
Alagoas,326.5,330.0,2026-06-06
MA Oeste,311.5,315.0,2026-06-06
SC,326.5,330.0,2026-06-06
PR Noroeste,328.5,332.0,2026-06-06
PA Paragominas,326.5,330.0,2026-06-06
MT Sudeste,331.5,335.0,2026-06-06
BA Sul,289.0,292.0,2026-06-07
RS Pelotas (kg),11.9,12.05,2026-06-07
RS Oeste (kg),11.85,12.0,2026-06-07
MS Três Lagoas,326.5,330.0,2026-06-07
MS C. Grande,327.5,331.0,2026-06-07
MS Dourados,326.5,330.0,2026-06-07
MG Sul,301.5,305.0,2026-06-07
GO Goiânia,306.5,310.0,2026-06-07
MG Norte,304.5,308.0,2026-06-07
MG B.Horizonte,301.5,305.0,2026-06-07
MG Triângulo,310.5,314.0,2026-06-07
SP Araçatuba,328.5,332.0,2026-06-07
BA Oeste,297.0,300.0,2026-06-07
GO Reg. Sul,311.5,315.0,2026-06-07
MT Norte,324.5,328.0,2026-06-07
PA Redenção,326.5,330.0,2026-06-07
MT Cuiabá*,331.5,335.0,2026-06-07
Roraima,311.5,315.0,2026-06-07
RJ,313.5,317.0,2026-06-07
ES,306.5,310.0,2026-06-07
Acre,280.0,283.0,2026-06-07
TO Norte,311.5,315.0,2026-06-07
TO Sul,306.5,310.0,2026-06-07
MT Sudoeste,331.5,335.0,2026-06-07
RO Sudeste,326.5,330.0,2026-06-07
PA Marabá,326.5,330.0,2026-06-07
Alagoas,326.5,330.0,2026-06-07
MA Oeste,311.5,315.0,2026-06-07
SC,326.5,330.0,2026-06-07
PR Noroeste,328.5,332.0,2026-06-07
MT Sudeste,331.5,335.0,2026-06-07
PA Paragominas,326.5,330.0,2026-06-07
SP Barretos,328.5,332.0,2026-06-07
SP Barretos,328.5,332.00,2026-06-08
SP Araçatuba,328.5,332.00,2026-06-08
MG Triângulo,310.5,314.00,2026-06-08
MG B.Horizonte,301.5,305.00,2026-06-08
MG Norte,304.5,308.00,2026-06-08
MG Sul,301.5,305.00,2026-06-08
GO Goiânia,306.5,310.00,2026-06-08
GO Reg. Sul,311.5,315.00,2026-06-08
MS Dourados,326.5,330.00,2026-06-08
MS C. Grande,327.5,331.00,2026-06-08
MS Três Lagoas,326.5,330.00,2026-06-08
RS Oeste (kg),11.85,12.00,2026-06-08
RS Pelotas (kg),11.9,12.05,2026-06-08
BA Sul,289.0,292.00,2026-06-08
BA Oeste,297.0,300.00,2026-06-08
MT Norte,324.5,328.00,2026-06-08
MT Sudoeste,331.5,335.00,2026-06-08
MT Cuiabá*,331.5,335.00,2026-06-08
MT Sudeste,331.5,335.00,2026-06-08
PR Noroeste,328.5,332.00,2026-06-08
SC,326.5,330.00,2026-06-08
MA Oeste,311.5,315.00,2026-06-08
Alagoas,326.5,330.00,2026-06-08
PA Marabá,326.5,330.00,2026-06-08
